l3,geo_f,i_1y,i_wiu,ipm_1y,ipm_wiu,o_Q1_wiu,o_Q5_wiu,pm,qs_Q1,qs_Q5
00: Total,Austria,0.108799540898317,0.0693983505120246,0.108799540898317,0.0693983505120246,0.0496094148422586,0.0249280955723367,1,1,1
0722: Fuels and lubricants fo...,Austria,0.432899079312237,0.273649638297081,0.0177584660224464,0.0112257060270816,0.00834722615425307,0.00629156134975856,0.0410221847795563,0.0256627027027027,0.0384940540540541
"1111: Restaurants, cafés and ...",Austria,0.102961942978933,0.0657433439701103,0.00979714258887436,0.0062556794919495,0.00371846342604351,0.00200949762345271,0.0951530468969391,0.0831412962962963,0.0894161111111111
0451: Electricity,Austria,0.358620478787204,0.19357465281352,0.00955515614359167,0.0051576419710606,-0.000153164250112649,-4.61778443936135e-05,0.026644201067116,0.031819512195122,0.0190917073170732
0452: Gas,Austria,1.10780291598702,0.422549739806713,0.0116099985466542,0.00442840670867356,0.00227971941232204,0.000687317883944076,0.010480202190396,0.0125158536585366,0.00750951219512195
0112: Meat,Austria,0.152510761988004,0.125975670006627,0.00468025163438615,0.00386594249321096,0.00341050979310363,0.00130244049241128,0.0306880089862398,0.0316203703703704,0.0240314814814815
0454: Solid fuels,Austria,0.962965635231851,0.688440994375008,0.00522451448263953,0.00373509688607839,0.00249201385835827,0.000751323028013134,0.00542544229149115,0.00647926829268293,0.00388756097560976
0711: Motor cars,Austria,0.180287664098586,0.107281928800587,0.00614223516103355,0.00365499679923821,0.00129995263065824,0.00166681056926197,0.0340690817186184,0.0157066071428571,0.0400789285714286
0455: Heat energy,Austria,0.60055065095708,0.39478271434468,0.00541018390415701,0.00355648117837049,0.00141477579093914,0.000426544028895707,0.00900870541982589,0.0107585365853659,0.00645512195121951
0453: Liquid fuels,Austria,1.06010444047263,0.629465484466728,0.00585870693302481,0.0034787645982323,0.00406925728029246,0.00122684979914517,0.00552653748946925,0.0066,0.00396
0733: Passenger transport by air,Austria,0.344741111674366,0.52484402091868,0.0018084144807855,0.00275318346272422,0.00283143358816929,0.000948506075806189,0.00524571749508565,0.00636818181818182,0.00424545454545455
"0114: Milk, cheese and eggs",Austria,0.202245742717232,0.136049625007058,0.00391655894910989,0.00263464817199852,0.00196449335344131,0.00075022088948948,0.0193653468126931,0.0199537037037037,0.0151648148148148
0511: Furniture and furnishings,Austria,0.097452731371936,0.0634601941130073,0.0038028732242191,0.00247639106260699,0.0012612043573807,0.00105623172728404,0.0390227464195451,0.0235335483870968,0.0392225806451613
