geo_f,geo,Q1_t,Q1,Q5_t,Q5
Luxembourg,lu,0.0546697977239642,0.0349217380250799,0.0277480236990879,0.0132794268002552
Denmark,dk,0.0687631426035605,0.038245452655436,0.0275381613166484,0.010194058689922
Netherlands,nl,0.115554602967095,0.106558412899277,0.0506145501626132,0.0343853599855699
Austria,at,0.0723508131300516,0.0317680161547064,0.0363553569453891,0.0135436638853761
Belgium,be,0.0766981305764666,0.0596108244041777,0.0425106780418667,0.0221658695470973
Sweden,se,0.0692037052718368,0.023810685542357,0.0307142640683334,0.0118169264914869
Germany,de,0.0820022977539904,0.0409597761117082,0.0386794760123755,0.0150510705875562
Finland,fi,0.0590700881836284,0.0195018022674637,0.0290643329908159,0.0120421550672347
France,fr,0.0344449975813784,0.0145475781086603,0.0193202875902172,0.00641010986179941
Ireland,ie,0.0529831556115083,0.033164672252065,0.027906893683795,0.0112579686293199
Italy,it,0.121502322785338,0.10791573668317,0.0250800318775796,0.0116570379296842
Cyprus,cy,0.0558774974681026,0.0263628357321042,0.0340710632488442,0.0118223627930189
Lithuania,lt,0.152221959366056,0.0461223396778173,0.0534655068737885,0.0158632392514723
Spain,es,0.0717206378848133,0.0249416993242148,0.0299730359622996,0.0087411541797894
Slovenia,si,0.0875736258020118,0.0342227632469375,0.0338594539010443,0.0106639878517994
Portugal,pt,0.0759475398966161,0.0273478248628231,0.0388474379962187,0.0102375152226008
Malta,mt,0.0585630209345379,0.00628640513125376,0.0248392979807585,0.00172916843789119
Estonia,ee,0.16552879775198,0.105186590294196,0.0670423987010334,0.0250268289251597
Czechia,cz,0.0851136887625565,0.0218935085322173,0.0501662653539995,0.0113681696122951
Poland,pl,0.0941719312757976,0.0310807599433373,0.048382036729948,0.0151038497765628
Romania,ro,0.104359432119299,,0.0479262404650152,
Greece,gr,0.118712852271059,0.0662035439378488,0.0533508795204951,0.0224074732962391
Latvia,lv,0.135698365501269,0.0665814334283053,0.0676527181368025,0.0242430496707627
Croatia,hr,0.128820073775533,0.0460275454882372,0.0496818117623819,0.0139558779659906
Slovakia,sk,0.0857431274564503,0.0309024401749376,0.049361424527986,0.0135979019252626
Hungary,hu,0.108934024590698,0.0283588036445647,0.0706591900529356,0.0145083867362193
Bulgaria,bg,0.0930527743789088,0.0303099591769852,0.0467524219555619,0.0158721608094579
