geo_f,Q1,Q5,geo
Luxembourg,0.020754324306405794,0.008385282421585854,lu
Danemark,0.012661997675337168,0.005196942061454946,dk
Pays-Bas,0.03993393748217351,0.013458067982042871,nl
Belgique,0.009825451419874866,0.004893055740609524,be
Suède,0.01330394521802454,0.006703150804031555,se
Autriche,0.009366290834421984,0.006168872819543052,at
Allemagne,0.01913045485836745,0.008841836949216857,de
Finlande,0.008236288766017605,0.005945859119403453,fi
France,0.009182185869291433,0.0040603909641002515,fr
Irlande,0.017115023115816985,0.006072233632998971,ie
Italie,0.01637569121235858,0.002127820923642525,it
Chypre,0.01581932971697687,0.007218889931157661,cy
Lituanie,0.01637494251083104,0.007925053893310404,lt
Slovénie,0.0016457127779438121,0.003566841009104865,si
Espagne,0.018726305519909395,0.00653653385373758,es
Portugal,0.017796989575068208,0.007153142963466719,pt
Malte,0.0016416230943254843,4.3854906064053935e-4,mt
Tchéquie,0.010024645938009061,0.0068758463518666215,cz
Estonie,0.07774186136064427,0.017869600245175556,ee
Pologne,0.01574920679545264,0.013291516427038547,pl
Grèce,0.037743303433254834,0.013684294131555058,gr
Roumanie,0.025708486795016944,0.01577119123206837,ro
Croatie,0.027616683410999793,0.010309134457035763,hr
Slovaquie,0.006613446762825124,0.00462832695242536,sk
Lettonie,0.03512585448224339,0.01779008160379264,lv
Hongrie,0.003348854954119835,0.0026687025944399975,hu
Bulgarie,0.01176124237849147,0.010541324034822512,bg
